PurchaseOrder.Items.Item.partNumber , PO.POLines.Item.partNo, 1.0
PurchaseOrder.DeliverTo.Address.postalCode , PO.POShipTo.postalCode, 1.0
PurchaseOrder.Header.Contact.e-mail , PO.Contact.contactEmail, 1.0
PurchaseOrder.InvoiceTo.Address.postalCode , PO.POBillTo.postalCode, 1.0
PurchaseOrder.InvoiceTo.Contact , PO.Contact, 1.0
PurchaseOrder.DeliverTo.Address.street3 , PO.POShipTo.street1, 1.0
PurchaseOrder.DeliverTo.Address.street3 , PO.POShipTo.street2, 1.0
PurchaseOrder.DeliverTo.Address.street3 , PO.POShipTo.street3, 1.0
PurchaseOrder.DeliverTo.Address.street3 , PO.POShipTo.street4, 1.0
PurchaseOrder.Items , PO.POLines, 1.0
PurchaseOrder.DeliverTo.Address.street2 , PO.POShipTo.street1, 1.0
PurchaseOrder.DeliverTo.Address.street2 , PO.POShipTo.street2, 1.0
PurchaseOrder.DeliverTo.Address.street2 , PO.POShipTo.street3, 1.0
PurchaseOrder.DeliverTo.Address.street2 , PO.POShipTo.street4, 1.0
PurchaseOrder.DeliverTo.Address.street1 , PO.POShipTo.street1, 1.0
PurchaseOrder.DeliverTo.Address.street1 , PO.POShipTo.street2, 1.0
PurchaseOrder.DeliverTo.Address.street1 , PO.POShipTo.street3, 1.0
PurchaseOrder.DeliverTo.Address.street1 , PO.POShipTo.street4, 1.0
PurchaseOrder.Header.Contact , PO.Contact, 1.0
PurchaseOrder.Items.itemCount , PO.POLines.count, 1.0
PurchaseOrder.DeliverTo.Contact.contactName , PO.Contact.contactName, 1.0
PurchaseOrder.InvoiceTo.Address.stateProvince , PO.POBillTo.stateProvince, 1.0
PurchaseOrder.InvoiceTo.Contact.e-mail , PO.Contact.contactEmail, 1.0
PurchaseOrder.DeliverTo.Address.country , PO.POShipTo.country, 1.0
PurchaseOrder.DeliverTo.Address.street4 , PO.POShipTo.street1, 1.0
PurchaseOrder.DeliverTo.Address.street4 , PO.POShipTo.street2, 1.0
PurchaseOrder.DeliverTo.Address.street4 , PO.POShipTo.street3, 1.0
PurchaseOrder.DeliverTo.Address.street4 , PO.POShipTo.street4, 1.0
PurchaseOrder.DeliverTo.Address.stateProvince , PO.POShipTo.stateProvince, 1.0
PurchaseOrder.DeliverTo.Contact , PO.Contact, 1.0
PurchaseOrder.InvoiceTo.Contact.contactName , PO.Contact.contactName, 1.0
PurchaseOrder.DeliverTo , PO.POShipTo, 1.0
PurchaseOrder.Header.Contact.contactName , PO.Contact.contactName, 1.0
PurchaseOrder.DeliverTo.Contact.e-mail , PO.Contact.contactEmail, 1.0
PurchaseOrder.Items.Item.unitPrice , PO.POLines.Item.unitPrice, 1.0
PurchaseOrder.InvoiceTo.Address.street1 , PO.POBillTo.street4, 1.0
PurchaseOrder.InvoiceTo.Address.street1 , PO.POBillTo.street3, 1.0
PurchaseOrder.InvoiceTo.Address.street1 , PO.POBillTo.street2, 1.0
PurchaseOrder.InvoiceTo.Address.street1 , PO.POBillTo.street1, 1.0
PurchaseOrder.Items.Item , PO.POLines.Item, 1.0
PurchaseOrder , PO, 1.0
PurchaseOrder.InvoiceTo.Address.street3 , PO.POBillTo.street4, 1.0
PurchaseOrder.InvoiceTo.Address.street3 , PO.POBillTo.street3, 1.0
PurchaseOrder.InvoiceTo.Address.street3 , PO.POBillTo.street2, 1.0
PurchaseOrder.InvoiceTo.Address.street3 , PO.POBillTo.street1, 1.0
PurchaseOrder.InvoiceTo.Address.street2 , PO.POBillTo.street4, 1.0
PurchaseOrder.InvoiceTo.Address.street2 , PO.POBillTo.street3, 1.0
PurchaseOrder.InvoiceTo.Address.street2 , PO.POBillTo.street2, 1.0
PurchaseOrder.InvoiceTo.Address.street2 , PO.POBillTo.street1, 1.0
PurchaseOrder.InvoiceTo , PO.POBillTo, 1.0
PurchaseOrder.InvoiceTo.Address.street4 , PO.POBillTo.street4, 1.0
PurchaseOrder.InvoiceTo.Address.street4 , PO.POBillTo.street3, 1.0
PurchaseOrder.InvoiceTo.Address.street4 , PO.POBillTo.street2, 1.0
PurchaseOrder.InvoiceTo.Address.street4 , PO.POBillTo.street1, 1.0
PurchaseOrder.DeliverTo.Address.city , PO.POShipTo.city, 1.0
PurchaseOrder.InvoiceTo.Address.country , PO.POBillTo.country, 1.0
PurchaseOrder.InvoiceTo.Contact.telephone , PO.Contact.contactPhone, 1.0
PurchaseOrder.DeliverTo.Contact.telephone , PO.Contact.contactPhone, 1.0
PurchaseOrder.Header.Contact.telephone , PO.Contact.contactPhone, 1.0
PurchaseOrder.Header.orderDate , PO.POHeader.poDate, 1.0
PurchaseOrder.Header , PO.POHeader, 1.0
PurchaseOrder.Items.Item.quantity , PO.POLines.Item.qty, 1.0
PurchaseOrder.InvoiceTo.Address.city , PO.POBillTo.city, 1.0
PurchaseOrder.Items.Item.unitOfMeasure , PO.POLines.Item.uom, 1.0
PurchaseOrder.Header.orderNum , PO.POHeader.poNumber, 1.0